IntendedDistance_m,Location,average_depth_m
4,outdoor1stfloor,4.261485366804231
4,outdoor1stfloor,4.113908887876438
4,outdoor1stfloor,4.634992874410867
4,outdoor1stfloor,4.434850059194476
4,outdoor1stfloor,4.410128077089239
4,outdoor1stfloor,4.5548316770170425
4,outdoor1stfloor,4.2639519569128055
4,outdoor1stfloor,4.3228202958951885
4,outdoor1stfloor,4.131683282297829
4,outdoor1stfloor,4.125118627959301
4,outdoor1stfloor,4.241764822411637
4,outdoor1stfloor,4.166658292587113
4,outdoor1stfloor,4.360707539613003
4,outdoor1stfloor,4.321122605998445
4,outdoor1stfloor,4.0127897887060255
4,outdoor1stfloor,4.088201530057007
4,outdoor1stfloor,4.2433349571721015
4,outdoor1stfloor,4.236753698903214
4,outdoor1stfloor,4.163102685298947
4,outdoor1stfloor,4.00223464554148
4,outdoor1stfloor,4.163395802146284
4,outdoor1stfloor,4.658366024369311
4,outdoor1stfloor,4.35845105652987
4,outdoor1stfloor,4.4958332844067534
4,outdoor1stfloor,4.077840120649876
4,outdoor1stfloor,4.0301237124807
4,outdoor1stfloor,4.171106090516558
4,outdoor1stfloor,5.0545923080689095
4,outdoor1stfloor,4.478745345472341
4,outdoor1stfloor,4.207723252570519
4,outdoor1stfloor,4.235093622936132
4,outdoor1stfloor,4.339328948072161
4,outdoor1stfloor,4.446914179471047
4,outdoor1stfloor,4.031099859241047
4,outdoor1stfloor,4.213140874270748
4,outdoor1stfloor,4.474984567994657
4,outdoor1stfloor,4.324579981829282
4,outdoor1stfloor,4.399509088746879
4,outdoor1stfloor,4.2199604306833
4,outdoor1stfloor,4.348098989295146
4,outdoor1stfloor,4.223432245760747
4,outdoor1stfloor,4.642475741811285
4,outdoor1stfloor,4.218715966881248
4,outdoor1stfloor,4.007926307204763
4,outdoor1stfloor,4.35987259687401
4,outdoor1stfloor,4.4398085790804185
4,outdoor1stfloor,4.416341209764942
4,outdoor1stfloor,4.742123646035666
4,outdoor1stfloor,4.145067743054286
4,outdoor1stfloor,4.2175968442032765
4,outdoor1stfloor,4.435697180381271
4,outdoor1stfloor,4.269708202800247
4,outdoor1stfloor,3.995015290424176
4,outdoor1stfloor,4.520361181890427
4,outdoor1stfloor,4.243251660687598
4,outdoor1stfloor,4.003365519662544
4,outdoor1stfloor,4.068701900002379
4,outdoor1stfloor,4.04784719541699
4,outdoor1stfloor,4.261700455218745
4,outdoor1stfloor,4.24542654817516
4,outdoor1stfloor,4.3332227906734255
4,outdoor1stfloor,4.701639713761753
4,outdoor1stfloor,4.02097166568988
4,outdoor1stfloor,4.186295664707822
4,outdoor1stfloor,4.147931549475183
4,outdoor1stfloor,4.236897566012977
4,outdoor1stfloor,4.201043416825761
4,outdoor1stfloor,4.243944955522706
4,outdoor1stfloor,4.464556299879387
4,outdoor1stfloor,4.223113734681972
4,outdoor1stfloor,4.05912359209953
4,outdoor1stfloor,4.596256484295113
4,outdoor1stfloor,4.226918082206116
4,outdoor1stfloor,4.30155870853502
4,outdoor1stfloor,4.194672033861544
4,outdoor1stfloor,4.627901008990494
4,outdoor1stfloor,4.273378660644325
4,outdoor1stfloor,4.190653669482377
4,outdoor1stfloor,4.43536234475716
4,outdoor1stfloor,4.255896369391608
4,outdoor1stfloor,4.180615388441984
4,outdoor1stfloor,4.654375491282809
4,outdoor1stfloor,4.707490090819487
4,outdoor1stfloor,4.235337662468044
4,outdoor1stfloor,4.133732845413124
4,outdoor1stfloor,4.325427382013081
4,outdoor1stfloor,4.135107872862511
4,outdoor1stfloor,4.318740756310271
4,outdoor1stfloor,4.383903874038403
4,outdoor1stfloor,4.687932215001987
4,outdoor1stfloor,4.810239873444537
