timestamp,x,y,depth,gyro_data.x,gyro_data.y,gyro_data.z,accel_data.x,accel_data.y,accel_data.z,ground_truth
2025-03-05 02:44:45.124528,320,240,4.913,0.0011,-0.0096,0.0027,0.3628,-9.0515,-0.049,4.5
2025-03-05 02:44:45.192630,320,240,4.975,-0.0011,-0.0069,0.0016,0.3825,-9.0515,-0.0294,4.5
2025-03-05 02:44:45.259299,320,240,4.873,-0.0043,-0.0048,0.0016,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:45.292721,320,240,4.756,-0.0011,-0.0085,0.0032,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:45.359520,320,240,4.913,0.0016,-0.0059,0.0037,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:45.392913,320,240,4.833,-0.0016,-0.0075,0.0011,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:45.459553,320,240,4.7,-0.0005,-0.0075,0.0032,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:45.492958,320,240,4.7,0.0021,-0.0107,0.0021,0.3432,-9.0712,-0.0294,4.5
2025-03-05 02:44:45.559416,320,240,4.794,-0.0016,-0.0085,0.0021,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:45.592883,320,240,4.873,0.0011,-0.0069,0.0016,0.3628,-9.0515,-0.049,4.5
2025-03-05 02:44:45.659894,320,240,4.893,-0.0016,-0.0085,0.0021,0.3432,-9.0515,-0.0294,4.5
2025-03-05 02:44:45.725728,320,240,4.7,-0.0005,-0.0053,0.0016,0.3432,-9.0712,-0.049,4.5
2025-03-05 02:44:45.760355,320,240,4.794,0.0021,-0.0027,0.0016,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:45.826498,320,240,4.853,0.0011,-0.008,0.0027,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:45.892625,320,240,4.893,-0.0016,-0.0107,0.0005,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:45.926524,320,240,4.853,-0.0032,-0.0091,0.0032,0.3432,-9.0712,-0.0294,4.5
2025-03-05 02:44:45.993348,320,240,4.833,-0.0005,-0.0101,0.0027,0.3825,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.026737,320,240,4.853,-0.0027,-0.008,0.0037,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.093470,320,240,4.975,-0.0011,-0.0053,0.0021,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.124988,320,240,4.996,0.0005,-0.0059,-0.0005,0.3432,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.193306,320,240,4.756,0.0005,-0.0016,0.0048,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.226711,320,240,5.017,-0.0037,-0.0123,0.0048,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.293432,320,240,4.833,0.0021,-0.0069,0.0016,0.3432,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.359770,320,240,4.833,0.0,-0.0085,-0.0005,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.426716,320,240,4.794,0.0048,-0.0064,0.0011,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.460207,320,240,4.873,-0.0021,-0.0101,0.0048,0.3432,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.526671,320,240,4.756,-0.0005,-0.0075,0.0032,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.560278,320,240,4.853,-0.0005,-0.0059,0.0053,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:46.626900,320,240,4.954,-0.0032,-0.0091,0.0037,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.692928,320,240,4.913,0.0011,-0.0043,0.0032,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.726881,320,240,4.934,0.0,-0.0037,0.0,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.793705,320,240,4.814,0.0005,-0.0064,0.0043,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:46.827009,320,240,4.913,0.0064,-0.0037,0.0048,0.3628,-9.0515,-0.049,4.5
2025-03-05 02:44:46.893372,320,240,4.893,-0.0005,-0.0032,0.0021,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:46.926959,320,240,4.681,-0.0021,-0.0096,0.0005,0.3628,-9.0515,-0.049,4.5
