Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth
2025-04-08 16:13:19.072,2,279,120,371,184,0.96,10.568,5888,7.5
2025-04-08 16:13:19.839,3,278,120,371,184,0.96,10.735,5952,7.5
2025-04-08 16:13:20.655,4,279,120,371,185,0.96,10.518,5980,7.5
2025-04-08 16:13:21.435,5,279,120,371,184,0.96,10.549,5888,7.5
2025-04-08 16:13:22.161,6,279,120,371,184,0.96,10.713,5888,7.5
2025-04-08 16:13:22.884,7,279,120,371,184,0.96,10.689,5888,7.5
2025-04-08 16:13:23.590,8,278,120,371,184,0.96,10.631,5952,7.5
2025-04-08 16:13:24.360,9,279,120,371,184,0.96,10.505,5888,7.5
2025-04-08 16:13:25.094,10,279,120,371,184,0.96,10.581,5888,7.5
2025-04-08 16:13:25.860,11,279,120,371,184,0.96,10.472,5888,7.5
2025-04-08 16:13:26.597,12,279,120,371,184,0.96,10.757,5888,7.5
2025-04-08 16:13:27.369,13,279,120,371,184,0.96,10.394,5888,7.5
2025-04-08 16:13:28.355,14,279,120,371,184,0.96,10.519,5888,7.5
2025-04-08 16:13:29.283,15,279,120,371,184,0.96,10.623,5888,7.5
2025-04-08 16:13:30.130,16,279,120,371,184,0.96,10.579,5888,7.5
