Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth
2025-04-08 16:15:23.861,2,250,78,376,163,0.97,7.173,10710,5.5
2025-04-08 16:15:24.565,3,250,78,376,163,0.97,7.083,10710,5.5
2025-04-08 16:15:25.240,4,250,78,376,163,0.97,7.185,10710,5.5
2025-04-08 16:15:25.983,5,250,78,376,163,0.97,7.159,10710,5.5
2025-04-08 16:15:26.715,6,250,78,376,163,0.97,7.193,10710,5.5
2025-04-08 16:15:27.405,7,250,78,376,163,0.97,7.201,10710,5.5
2025-04-08 16:15:28.117,8,250,78,376,163,0.97,7.179,10710,5.5
2025-04-08 16:15:28.801,9,250,78,376,163,0.97,7.205,10710,5.5
2025-04-08 16:15:29.524,10,250,78,376,163,0.97,7.125,10710,5.5
2025-04-08 16:15:30.221,11,250,78,376,163,0.97,7.325,10710,5.5
2025-04-08 16:15:30.936,12,250,78,376,163,0.97,7.315,10710,5.5
2025-04-08 16:15:31.705,13,250,78,376,163,0.97,7.259,10710,5.5
2025-04-08 16:15:32.380,14,250,78,376,163,0.97,7.318,10710,5.5
2025-04-08 16:15:33.134,15,250,78,376,163,0.97,7.236,10710,5.5
2025-04-08 16:15:33.886,16,250,78,376,163,0.97,7.397,10710,5.5
2025-04-08 16:15:34.545,17,250,78,376,163,0.97,7.283,10710,5.5
2025-04-08 16:15:35.236,18,250,78,376,163,0.97,7.293,10710,5.5
2025-04-08 16:15:36.001,19,250,78,376,163,0.97,7.235,10710,5.5
2025-04-08 16:15:36.738,20,250,78,376,163,0.97,7.213,10710,5.5
2025-04-08 16:15:37.384,21,250,78,376,163,0.97,7.216,10710,5.5
2025-04-08 16:15:38.164,22,250,78,376,163,0.97,7.316,10710,5.5
