Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth
2025-04-08 16:16:36.177,2,245,39,399,150,0.96,5.148,17094,4.5
2025-04-08 16:16:36.860,3,246,38,399,150,0.96,5.485,17136,4.5
2025-04-08 16:16:37.557,4,245,38,399,149,0.96,5.517,17094,4.5
2025-04-08 16:16:38.202,5,246,39,399,149,0.96,5.173,16830,4.5
2025-04-08 16:16:38.845,6,245,38,399,149,0.96,5.253,17094,4.5
2025-04-08 16:16:39.526,7,245,38,399,147,0.96,5.535,16786,4.5
2025-04-08 16:16:40.208,8,245,38,399,150,0.96,5.379,17248,4.5
2025-04-08 16:16:40.852,9,246,39,399,150,0.96,5.179,16983,4.5
2025-04-08 16:16:41.551,10,246,39,399,147,0.96,5.102,16524,4.5
2025-04-08 16:16:42.208,11,246,39,399,149,0.96,5.232,16830,4.5
2025-04-08 16:16:42.882,12,246,39,399,148,0.96,5.209,16677,4.5
2025-04-08 16:16:43.588,13,246,39,399,149,0.96,5.237,16830,4.5
2025-04-08 16:16:44.293,14,246,39,399,147,0.96,5.204,16524,4.5
