Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area
2025-04-08 16:17:03.259,2,239,15,413,135,0.97,4.538,20880
2025-04-08 16:17:03.971,3,241,16,415,137,0.96,4.638,21054
2025-04-08 16:17:04.698,4,242,16,415,137,0.96,4.508,20933
2025-04-08 16:17:05.398,5,242,15,416,135,0.96,4.715,20880
2025-04-08 16:17:06.058,6,242,16,415,140,0.96,4.675,21452
2025-04-08 16:17:06.765,7,241,15,415,136,0.96,4.622,21054
2025-04-08 16:17:07.471,8,242,16,416,136,0.96,4.584,20880
2025-04-08 16:17:08.162,9,241,15,415,137,0.96,4.573,21228
2025-04-08 16:17:08.852,10,240,15,415,136,0.97,4.529,21175
2025-04-08 16:17:09.604,11,240,15,414,136,0.97,4.665,21054
2025-04-08 16:17:10.326,12,241,16,415,135,0.96,4.624,20706
2025-04-08 16:17:11.018,13,241,15,415,138,0.96,4.579,21402
2025-04-08 16:17:11.661,14,240,15,414,136,0.97,4.614,21054
2025-04-08 16:17:12.338,15,240,15,415,136,0.97,4.520,21175
2025-04-08 16:17:13.028,16,241,15,415,136,0.97,4.651,21054
2025-04-08 16:17:13.688,17,241,15,415,136,0.96,4.792,21054
2025-04-08 16:17:14.484,18,241,15,415,136,0.96,4.671,21054
2025-04-08 16:17:15.226,19,241,16,415,139,0.96,4.666,21402
2025-04-08 16:17:15.932,20,241,15,415,136,0.96,4.751,21054
2025-04-08 16:17:18.170,21,241,15,415,138,0.96,4.597,21402
2025-04-08 16:17:18.851,22,241,16,415,139,0.96,4.592,21402
2025-04-08 16:17:19.554,23,241,16,415,137,0.96,4.674,21054
2025-04-08 16:17:20.249,24,241,15,415,137,0.96,4.625,21228
