Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth
2025-04-08 16:14:21.526,2,276,103,382,177,0.96,8.321,7844,6.5
2025-04-08 16:14:22.352,3,276,103,382,177,0.96,8.286,7844,6.5
2025-04-08 16:14:23.125,4,276,103,382,176,0.96,8.748,7738,6.5
2025-04-08 16:14:23.912,5,276,103,382,177,0.96,8.597,7844,6.5
2025-04-08 16:14:24.675,6,276,103,382,176,0.96,8.613,7738,6.5
2025-04-08 16:14:25.428,7,275,103,382,176,0.96,8.551,7811,6.5
2025-04-08 16:14:26.173,8,276,103,382,176,0.96,8.566,7738,6.5
2025-04-08 16:14:26.978,9,276,103,382,177,0.96,8.529,7844,6.5
2025-04-08 16:14:27.710,10,276,103,382,176,0.96,8.543,7738,6.5
2025-04-08 16:14:28.445,11,275,103,382,176,0.96,8.465,7811,6.5
2025-04-08 16:14:29.213,12,276,103,382,176,0.96,8.61,7738,6.5
