Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area,ground_truth
2025-04-08 16:18:00.799,2,240,0,441,119,0.97,3.924,23919,3.5
2025-04-08 16:18:01.594,3,241,0,441,119,0.97,3.931,23800,3.5
2025-04-08 16:18:02.289,4,241,0,441,119,0.97,3.921,23800,3.5
2025-04-08 16:18:02.901,5,240,0,442,120,0.97,3.922,24240,3.5
2025-04-08 16:18:03.559,6,241,0,441,119,0.97,3.946,23800,3.5
2025-04-08 16:18:04.239,7,241,0,441,119,0.97,3.921,23800,3.5
2025-04-08 16:18:04.858,8,241,0,442,119,0.97,3.934,23919,3.5
2025-04-08 16:18:05.470,9,241,0,442,119,0.97,3.953,23919,3.5
2025-04-08 16:18:06.128,10,241,0,441,119,0.97,3.942,23800,3.5
2025-04-08 16:18:06.800,11,240,0,442,120,0.97,3.939,24240,3.5
2025-04-08 16:18:07.458,12,241,0,441,119,0.97,3.937,23800,3.5
2025-04-08 16:18:08.149,13,241,0,442,119,0.97,3.941,23919,3.5
2025-04-08 16:18:08.856,14,241,0,441,119,0.97,3.932,23800,3.5
2025-04-08 16:18:09.622,15,241,0,441,119,0.97,3.911,23800,3.5
2025-04-08 16:18:10.330,16,241,0,442,119,0.97,3.933,23919,3.5
2025-04-08 16:18:10.973,17,231,0,431,120,0.97,4.049,24000,3.5
2025-04-08 16:18:11.630,18,228,0,428,120,0.97,4.067,24000,3.5
2025-04-08 16:18:12.295,19,218,0,417,119,0.97,4.147,23681,3.5
2025-04-08 16:18:12.949,20,208,0,408,120,0.97,3.956,24000,3.5
2025-04-08 16:18:13.545,21,210,0,410,120,0.97,4.05,24000,3.5
2025-04-08 16:18:14.299,22,208,0,408,120,0.97,4.068,24000,3.5
2025-04-08 16:18:14.959,23,210,0,409,120,0.97,3.985,23880,3.5
2025-04-08 16:18:15.618,24,210,0,409,120,0.97,3.952,23880,3.5
2025-04-08 16:18:16.321,25,209,0,409,120,0.97,4.015,24000,3.5
2025-04-08 16:18:17.012,26,209,0,409,120,0.97,3.992,24000,3.5
2025-04-08 16:18:17.655,27,209,0,409,120,0.97,3.999,24000,3.5
2025-04-08 16:18:18.381,28,209,0,409,120,0.97,4.103,24000,3.5
2025-04-08 16:18:19.048,29,209,0,409,120,0.97,3.973,24000,3.5
2025-04-08 16:18:19.717,30,209,0,409,120,0.97,4.066,24000,3.5
2025-04-08 16:18:20.439,31,209,0,408,120,0.97,4.011,23880,3.5
2025-04-08 16:18:21.143,32,209,0,408,120,0.97,3.994,23880,3.5
2025-04-08 16:18:21.818,33,209,0,409,120,0.97,4.008,24000,3.5
