session_time,timestamp,average_depth_m
2025-03-25 15:25:41,2025-03-25 15:26:03.650,7.370488312498653
2025-03-25 15:25:41,2025-03-25 15:26:03.750,6.617852119270929
2025-03-25 15:25:41,2025-03-25 15:26:03.883,6.641527202735848
2025-03-25 15:25:41,2025-03-25 15:26:03.983,6.9111572719897545
2025-03-25 15:25:41,2025-03-25 15:26:04.083,6.260704931650037
2025-03-25 15:25:41,2025-03-25 15:26:04.184,7.25711653817507
2025-03-25 15:25:41,2025-03-25 15:26:04.317,7.17800356674331
2025-03-25 15:25:41,2025-03-25 15:26:04.417,6.7537654496062824
2025-03-25 15:25:41,2025-03-25 15:26:04.551,7.067680994570357
2025-03-25 15:25:41,2025-03-25 15:26:04.681,7.179843778732459
2025-03-25 15:25:41,2025-03-25 15:26:04.784,6.800917863207941
2025-03-25 15:25:41,2025-03-25 15:26:04.917,8.915239079903678
2025-03-25 15:25:41,2025-03-25 15:26:05.045,6.526717736275902
2025-03-25 15:25:41,2025-03-25 15:26:05.151,6.669150835798794
2025-03-25 15:25:41,2025-03-25 15:26:05.285,7.003694975514788
2025-03-25 15:25:41,2025-03-25 15:26:05.417,7.3877234068325315
2025-03-25 15:25:41,2025-03-25 15:26:05.543,6.728992074615848
2025-03-25 15:25:41,2025-03-25 15:26:05.644,6.368699761956452
2025-03-25 15:25:41,2025-03-25 15:26:05.752,6.452154928309639
2025-03-25 15:25:41,2025-03-25 15:26:05.884,6.849177021160887
2025-03-25 15:25:41,2025-03-25 15:26:06.017,6.829807915331505
2025-03-25 15:25:41,2025-03-25 15:26:06.151,6.6914064459584415
2025-03-25 15:25:41,2025-03-25 15:26:06.284,6.8032252674565585
2025-03-25 15:25:41,2025-03-25 15:26:06.412,6.236911215777602
2025-03-25 15:25:41,2025-03-25 15:26:06.516,6.839713405037715
2025-03-25 15:25:41,2025-03-25 15:26:06.618,7.438761596708443
2025-03-25 15:25:41,2025-03-25 15:26:06.751,7.554164893687283
2025-03-25 15:25:41,2025-03-25 15:26:06.851,7.039979057785302
2025-03-25 15:25:41,2025-03-25 15:26:06.979,6.478316263469689
2025-03-25 15:25:41,2025-03-25 15:26:07.079,6.12893831927795
2025-03-25 15:25:41,2025-03-25 15:26:07.184,6.513133642690566
2025-03-25 15:25:41,2025-03-25 15:26:07.312,6.390782085983592
2025-03-25 15:25:41,2025-03-25 15:26:07.421,6.935436916206911
2025-03-25 15:25:41,2025-03-25 15:26:07.540,6.412372633631172
2025-03-25 15:25:41,2025-03-25 15:26:07.652,6.535640101002149
2025-03-25 15:25:41,2025-03-25 15:26:07.780,7.361943551050476
2025-03-25 15:25:41,2025-03-25 15:26:07.885,8.4370590994658
2025-03-25 15:25:41,2025-03-25 15:26:08.011,6.508075135103047
2025-03-25 15:25:41,2025-03-25 15:26:08.112,6.413979756702472
2025-03-25 15:25:41,2025-03-25 15:26:08.219,6.546578763584981
2025-03-25 15:25:41,2025-03-25 15:26:08.352,6.583912040335672
2025-03-25 15:25:41,2025-03-25 15:26:08.485,6.6141108020950625
2025-03-25 15:25:41,2025-03-25 15:26:08.607,6.847745790434775
2025-03-25 15:25:41,2025-03-25 15:26:08.719,6.435537933949856
2025-03-25 15:25:41,2025-03-25 15:26:08.852,6.477980921580945
2025-03-25 15:25:41,2025-03-25 15:26:08.952,7.109796623245665
2025-03-25 15:25:41,2025-03-25 15:26:09.085,5.90065210212827
2025-03-25 15:25:41,2025-03-25 15:26:09.186,6.602410195686356
2025-03-25 15:25:41,2025-03-25 15:26:09.319,6.265103498459437
2025-03-25 15:25:41,2025-03-25 15:26:09.441,6.811423072340386
2025-03-25 15:25:41,2025-03-25 15:26:09.552,6.766641485191313
2025-03-25 15:25:41,2025-03-25 15:26:09.686,6.929790384395985
2025-03-25 15:25:41,2025-03-25 15:26:09.819,6.644768213992911
2025-03-25 15:25:41,2025-03-25 15:26:09.941,6.647084659420145
2025-03-25 15:25:41,2025-03-25 15:26:10.046,6.661229582107207
2025-03-25 15:25:41,2025-03-25 15:26:10.154,6.660235172879782
2025-03-25 15:25:41,2025-03-25 15:26:10.285,7.102881730187044
2025-03-25 15:25:41,2025-03-25 15:26:10.412,6.412588335200933
2025-03-25 15:25:41,2025-03-25 15:26:10.512,7.184892878577516
2025-03-25 15:25:41,2025-03-25 15:26:10.620,7.262849053453888
2025-03-25 15:25:41,2025-03-25 15:26:10.752,6.777398558499885
2025-03-25 15:25:41,2025-03-25 15:26:10.854,6.749461909986197
2025-03-25 15:25:41,2025-03-25 15:26:10.985,6.608174020312803
2025-03-25 15:25:41,2025-03-25 15:26:11.086,7.009234075252027
2025-03-25 15:25:41,2025-03-25 15:26:11.186,6.886939931601656
2025-03-25 15:25:41,2025-03-25 15:26:11.286,6.642603785147379
2025-03-25 15:25:41,2025-03-25 15:26:11.386,6.699948998582392
2025-03-25 15:25:41,2025-03-25 15:26:11.486,7.189230437011507
2025-03-25 15:25:41,2025-03-25 15:26:11.587,5.984779737081424
2025-03-25 15:25:41,2025-03-25 15:26:11.687,7.022340605761039
2025-03-25 15:25:41,2025-03-25 15:26:11.787,6.580492063825622
2025-03-25 15:25:41,2025-03-25 15:26:11.888,7.0325388369894215
2025-03-25 15:25:41,2025-03-25 15:26:12.010,6.753786035073323
2025-03-25 15:25:41,2025-03-25 15:26:12.112,6.72392388222457
2025-03-25 15:25:41,2025-03-25 15:26:12.220,7.709269974013795
2025-03-25 15:25:41,2025-03-25 15:26:12.354,7.026826145316095
2025-03-25 15:25:41,2025-03-25 15:26:12.475,6.6413010716984955
2025-03-25 15:25:41,2025-03-25 15:26:12.587,6.686144541268702
2025-03-25 15:25:41,2025-03-25 15:26:12.687,6.665612882044634
2025-03-25 15:25:41,2025-03-25 15:26:12.787,6.337050363571949
2025-03-25 15:25:41,2025-03-25 15:26:12.919,6.749423307744917
2025-03-25 15:25:41,2025-03-25 15:26:13.020,6.467492614881709
2025-03-25 15:25:41,2025-03-25 15:26:13.121,6.733927532959134
2025-03-25 15:25:41,2025-03-25 15:26:13.250,7.212762654145616
2025-03-25 15:25:41,2025-03-25 15:26:13.388,6.915795328482636
2025-03-25 15:25:41,2025-03-25 15:26:13.521,6.965541954154527
2025-03-25 15:25:41,2025-03-25 15:26:13.643,7.095230614190855
2025-03-25 15:25:41,2025-03-25 15:26:13.753,7.235798090463067
2025-03-25 15:25:41,2025-03-25 15:26:13.878,6.574257635637836
2025-03-25 15:25:41,2025-03-25 15:26:13.979,5.5885071237024055
2025-03-25 15:25:41,2025-03-25 15:26:14.114,6.315782935077689
2025-03-25 15:25:41,2025-03-25 15:26:14.221,6.735381906479759
2025-03-25 15:25:41,2025-03-25 15:26:14.321,6.688427215004659
