source_file,sample_id,timestamp,session_start,sample_count,camera_width,camera_height,depth_scale,origin_x,origin_y,detection_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bbox_width,bbox_height,rel_x,rel_y,mean_depth,median_depth,min_depth,max_depth,std_depth,valid_pixels,total_pixels,fill_ratio,center_depth_raw,center_depth_meters
sample_1503_20250530_152752_387_metadata.json,sample_1503_20250530_152752_387,20250530_152752_387,2025-05-30T15:22:04.397580,1503,640,480,0.0010000000474974513,320,240,2,1,0.806007444858551,317,432,325,443,321,437,8,11,1.0,197.0,9.160173274591036,8.681000412325375,5.65400026855059,15.40800073184073,2.6653194658126695,81,88,0.9204545454545454,8681,8.681000412325375
sample_1503_20250530_152752_387_metadata.json,sample_1503_20250530_152752_387,20250530_152752_387,2025-05-30T15:22:04.397580,1503,640,480,0.0010000000474974513,320,240,3,1,0.7766180634498596,493,447,502,460,497,453,9,13,177.0,213.0,5.212303818999707,4.931000234209932,4.778000226942822,7.166000340366736,0.611403169939392,112,117,0.9572649572649573,4931,4.931000234209932
sample_1503_20250530_152752_387_metadata.json,sample_1503_20250530_152752_387,20250530_152752_387,2025-05-30T15:22:04.397580,1503,640,480,0.0010000000474974513,320,240,4,0,0.5884352326393127,443,444,452,455,447,449,9,11,127.0,209.0,5.109586101278164,5.094000241952017,4.970000236062333,5.2680002502165735,0.08626902309281687,99,99,1.0,5052,5.052000239957124
sample_1503_20250530_152752_387_metadata.json,sample_1503_20250530_152752_387,20250530_152752_387,2025-05-30T15:22:04.397580,1503,640,480,0.0010000000474974513,320,240,5,1,0.5523844361305237,479,429,484,439,481,434,5,10,161.0,194.0,5.761400273651816,5.707000271067955,5.5030002613784745,6.225000295671634,0.215807980446056,50,50,1.0,5654,5.65400026855059
sample_1503_20250530_152752_387_metadata.json,sample_1503_20250530_152752_387,20250530_152752_387,2025-05-30T15:22:04.397580,1503,640,480,0.0010000000474974513,320,240,6,0,0.5047112703323364,535,454,544,466,539,460,9,12,219.0,220.0,4.866055786680793,4.853000230505131,4.815000228700228,4.931000234209932,0.04067346068465929,108,108,1.0,4815,4.815000228700228
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,0,1,0.8875799775123596,400,441,408,452,404,446,8,11,84.0,206.0,7.173197871572798,6.102000289829448,5.1790002459893,13.398000636370853,2.1770389373335783,81,88,0.9204545454545454,6420,6.420000304933637
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,1,1,0.8153631091117859,317,432,325,443,321,437,8,11,1.0,197.0,8.536463820094403,8.0040003801696,5.7600002735853195,14.0070006652968,2.123957935399986,82,88,0.9318181818181818,8004,8.0040003801696
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,2,1,0.8035803437232971,576,457,586,469,581,463,10,12,261.0,223.0,5.054750240087742,5.0110002380097285,4.6690002217656,5.5030002613784745,0.22697432100104314,120,120,1.0,5011,5.0110002380097285
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,3,1,0.7683941125869751,493,448,502,460,497,454,9,12,177.0,214.0,5.116952623994577,4.931000234209932,4.815000228700228,6.8480003252625465,0.417184651339482,105,108,0.9722222222222222,4815,4.815000228700228
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,4,1,0.6443437337875366,479,429,484,439,481,434,5,10,161.0,194.0,5.721520271757617,5.65400026855059,5.454000259051099,6.102000289829448,0.209284814931206,50,50,1.0,5654,5.65400026855059
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,5,0,0.5898391008377075,443,444,452,455,447,449,9,11,127.0,209.0,5.126272970757617,5.094000241952017,4.970000236062333,5.2680002502165735,0.06918162900410259,99,99,1.0,5094,5.094000241952017
sample_1504_20250530_152752_482_metadata.json,sample_1504_20250530_152752_482,20250530_152752_482,2025-05-30T15:22:04.397580,1504,640,480,0.0010000000474974513,320,240,6,0,0.5783764123916626,535,454,544,466,539,460,9,12,219.0,220.0,4.835815044503693,4.815000228700228,4.778000226942822,4.970000236062333,0.046986633141238666,108,108,1.0,4778,4.778000226942822
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,0,1,0.8784423470497131,400,441,408,452,404,446,8,11,84.0,206.0,7.57855849949708,6.92500032891985,5.13600024394691,13.696000650525093,2.3314472738806327,86,88,0.9772727272727273,6925,6.92500032891985
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,1,1,0.8075814843177795,317,432,325,443,321,437,8,11,1.0,197.0,8.924976033669692,8.443000401020981,5.870000278810039,14.6740006969776,2.3196376710986772,82,88,0.9318181818181818,8443,8.443000401020981
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,2,1,0.7861258387565613,576,457,586,469,581,463,10,12,261.0,223.0,5.031416905646135,5.0110002380097285,4.634000220103189,5.60300026612822,0.24560068970916804,120,120,1.0,4970,4.970000236062333
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,3,1,0.7771735191345215,493,447,502,460,497,453,9,13,177.0,213.0,5.192339696164175,4.931000234209932,4.815000228700228,6.92500032891985,0.5571231285040658,109,117,0.9316239316239316,4931,4.931000234209932
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,4,0,0.544304370880127,443,444,452,454,447,449,9,10,127.0,209.0,5.1228002433199435,5.13600024394691,5.052000239957124,5.1790002459893,0.04881079347498933,90,90,1.0,5094,5.094000241952017
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,5,1,0.5331597924232483,479,430,484,439,481,434,5,9,161.0,194.0,5.678155825253473,5.65400026855059,5.406000256771222,6.042000286979601,0.19434734498217893,45,45,1.0,5654,5.65400026855059
sample_1505_20250530_152752_576_metadata.json,sample_1505_20250530_152752_576,20250530_152752_576,2025-05-30T15:22:04.397580,1505,640,480,0.0010000000474974513,320,240,6,0,0.5190091133117676,535,454,544,466,539,460,9,12,219.0,220.0,4.916315048327238,4.931000234209932,4.853000230505131,5.0110002380097285,0.03424791266007695,108,108,1.0,4853,4.853000230505131
sample_1506_20250530_152752_672_metadata.json,sample_1506_20250530_152752_672,20250530_152752_672,2025-05-30T15:22:04.397580,1506,640,480,0.0010000000474974513,320,240,0,1,0.8795998096466064,400,441,408,452,404,446,8,11,84.0,206.0,7.451619401551961,6.706500318541657,5.1790002459893,13.398000636370853,2.146928255809329,84,88,0.9545454545454546,6925,6.92500032891985
sample_1506_20250530_152752_672_metadata.json,sample_1506_20250530_152752_672,20250530_152752_672,2025-05-30T15:22:04.397580,1506,640,480,0.0010000000474974513,320,240,1,1,0.8258782625198364,317,432,325,443,321,437,8,11,1.0,197.0,9.61868400116675,9.3380004435312,5.7600002735853195,16.657000791165046,2.899377646391496,79,88,0.8977272727272727,9338,9.3380004435312
sample_1506_20250530_152752_672_metadata.json,sample_1506_20250530_152752_672,20250530_152752_672,2025-05-30T15:22:04.397580,1506,640,480,0.0010000000474974513,320,240,2,1,0.7642807960510254,493,447,502,460,497,453,9,13,177.0,213.0,5.227318430102472,5.0110002380097285,4.815000228700228,6.773000321700238,0.4640028028264276,110,117,0.9401709401709402,5011,5.0110002380097285
sample_1506_20250530_152752_672_metadata.json,sample_1506_20250530_152752_672,20250530_152752_672,2025-05-30T15:22:04.397580,1506,640,480,0.0010000000474974513,320,240,3,1,0.7344970107078552,576,457,586,469,581,463,10,12,261.0,223.0,5.155658578213964,5.094000241952017,4.6690002217656,5.870000278810039,0.3190230680249668,120,120,1.0,5094,5.094000241952017
sample_1506_20250530_152752_672_metadata.json,sample_1506_20250530_152752_672,20250530_152752_672,2025-05-30T15:22:04.397580,1506,640,480,0.0010000000474974513,320,240,4,1,0.5885739326477051,479,429,484,439,481,434,5,10,161.0,194.0,5.812920276098884,5.815000276197679,5.406000256771222,6.62700031476561,0.29811098946904285,50,50,1.0,5707,5.707000271067955
sample_1507_20250530_152752_764_metadata.json,sample_1507_20250530_152752_764,20250530_152752_764,2025-05-30T15:22:04.397580,1507,640,480,0.0010000000474974513,320,240,0,1,0.8684790730476379,400,441,408,452,404,446,8,11,84.0,206.0,7.335279418174502,6.92500032891985,5.094000241952017,13.398000636370853,2.1285479719268894,86,88,0.9772727272727273,6925,6.92500032891985
sample_1507_20250530_152752_764_metadata.json,sample_1507_20250530_152752_764,20250530_152752_764,2025-05-30T15:22:04.397580,1507,640,480,0.0010000000474974513,320,240,1,1,0.818659782409668,317,432,325,443,321,437,8,11,1.0,197.0,9.23922266106173,8.932000424247235,5.7600002735853195,15.803000750602223,2.400297883601634,81,88,0.9204545454545454,8805,8.805000418215059
sample_1507_20250530_152752_764_metadata.json,sample_1507_20250530_152752_764,20250530_152752_764,2025-05-30T15:22:04.397580,1507,640,480,0.0010000000474974513,320,240,2,1,0.7752630710601807,493,448,502,460,497,454,9,12,177.0,214.0,5.278157113444097,4.872000231407583,4.741000225185417,8.329000395606272,0.7944347948013268,102,108,0.9444444444444444,4778,4.778000226942822
sample_1507_20250530_152752_764_metadata.json,sample_1507_20250530_152752_764,20250530_152752_764,2025-05-30T15:22:04.397580,1507,640,480,0.0010000000474974513,320,240,3,1,0.7740008234977722,576,457,586,469,581,463,10,12,261.0,223.0,4.972533569515993,4.970000236062333,4.5990002184407786,5.223000248079188,0.16959584788904322,120,120,1.0,4970,4.970000236062333
