source_file,sample_id,timestamp,session_start,sample_count,camera_width,camera_height,depth_scale,origin_x,origin_y,detection_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bbox_width,bbox_height,rel_x,rel_y,mean_depth,median_depth,min_depth,max_depth,std_depth,valid_pixels,total_pixels,fill_ratio,center_depth_raw,center_depth_meters
sample_0000_20250530_153614_184_metadata.json,sample_0000_20250530_153614_184,20250530_153614_184,2025-05-30T15:36:11.796821,0,640,480,0.0010000000474974513,320,240,0,1,0.8786221146583557,328,379,334,386,331,382,6,7,11.0,142.0,11.808548179923534,11.629000552347861,10.446000496158376,14.33300068078097,0.9954264742661357,42,42,1.0,11206,11.20600053225644
sample_0000_20250530_153614_184_metadata.json,sample_0000_20250530_153614_184,20250530_153614_184,2025-05-30T15:36:11.796821,0,640,480,0.0010000000474974513,320,240,1,0,0.824284017086029,401,378,406,385,403,381,5,7,83.0,141.0,9.478886164508626,9.3380004435312,8.932000424247235,10.104000479914248,0.35999872911485786,35,35,1.0,9338,9.3380004435312
sample_0000_20250530_153614_184_metadata.json,sample_0000_20250530_153614_184,20250530_153614_184,2025-05-30T15:36:11.796821,0,640,480,0.0010000000474974513,320,240,2,1,0.8208938241004944,354,379,360,387,357,383,6,8,37.0,143.0,11.610813051484001,11.629000552347861,10.813000513589941,12.326000585453585,0.4048009299766664,48,48,1.0,11413,11.413000542088412
sample_0000_20250530_153614_184_metadata.json,sample_0000_20250530_153614_184,20250530_153614_184,2025-05-30T15:36:11.796821,0,640,480,0.0010000000474974513,320,240,3,0,0.7372694611549377,385,378,390,386,387,382,5,8,67.0,142.0,9.395475446261116,9.3380004435312,8.932000424247235,9.783000464667566,0.26672515091973603,40,40,1.0,9338,9.3380004435312
sample_0001_20250530_153614_695_metadata.json,sample_0001_20250530_153614_695,20250530_153614_695,2025-05-30T15:36:11.796821,1,640,480,0.0010000000474974513,320,240,0,1,0.8839101791381836,328,379,334,386,331,382,6,7,11.0,142.0,11.81461960878334,11.629000552347861,10.446000496158376,13.696000650525093,0.876652846681665,42,42,1.0,11413,11.413000542088412
sample_0001_20250530_153614_695_metadata.json,sample_0001_20250530_153614_695,20250530_153614_695,2025-05-30T15:36:11.796821,1,640,480,0.0010000000474974513,320,240,1,1,0.8629154562950134,354,379,360,386,357,382,6,7,37.0,142.0,12.00535771308101,11.852000562939793,10.813000513589941,13.113000622834079,0.6248528817446614,42,42,1.0,11852,11.852000562939793
sample_0001_20250530_153614_695_metadata.json,sample_0001_20250530_153614_695,20250530_153614_695,2025-05-30T15:36:11.796821,1,640,480,0.0010000000474974513,320,240,2,0,0.7944509387016296,401,378,406,385,403,381,5,7,83.0,141.0,9.422800447558984,9.3380004435312,9.063000430469401,9.941000472172163,0.2608214400795172,35,35,1.0,9338,9.3380004435312
sample_0001_20250530_153614_695_metadata.json,sample_0001_20250530_153614_695,20250530_153614_695,2025-05-30T15:36:11.796821,1,640,480,0.0010000000474974513,320,240,3,0,0.6952403783798218,385,378,390,386,387,382,5,8,67.0,142.0,9.726750461995834,9.706500461034011,9.3380004435312,10.27200048789382,0.2320910222671659,40,40,1.0,9630,9.630000457400456
sample_0002_20250530_153614_759_metadata.json,sample_0002_20250530_153614_759,20250530_153614_759,2025-05-30T15:36:11.796821,2,640,480,0.0010000000474974513,320,240,0,1,0.8875108361244202,329,379,334,386,331,382,5,7,11.0,142.0,11.297000536578707,11.006000522756949,9.941000472172163,12.578000597422943,0.7935871559643933,35,35,1.0,11006,11.006000522756949
sample_0002_20250530_153614_759_metadata.json,sample_0002_20250530_153614_759,20250530_153614_759,2025-05-30T15:36:11.796821,2,640,480,0.0010000000474974513,320,240,1,1,0.8445355892181396,354,379,360,386,357,382,6,7,37.0,142.0,11.321143394868288,11.20600053225644,10.27200048789382,12.326000585453585,0.6068848759646049,42,42,1.0,11206,11.20600053225644
