Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area
2025-04-08 19:56:03.893,1,174,172,576,479,0.80,123414
2025-04-08 19:56:04.131,2,92,147,581,479,0.93,162348
2025-04-08 19:56:04.367,3,94,143,586,479,0.94,165312
2025-04-08 19:56:04.557,4,93,143,586,479,0.94,165648
2025-04-08 19:56:04.728,5,91,154,587,479,0.94,161200
2025-04-08 19:56:04.902,6,91,151,587,479,0.94,162688
2025-04-08 19:56:05.074,7,92,166,586,479,0.93,154622
2025-04-08 19:56:05.250,8,92,171,585,479,0.93,151844
2025-04-08 19:56:05.424,9,92,171,584,479,0.94,151536
2025-04-08 19:56:05.594,10,92,173,584,479,0.94,150552
2025-04-08 19:56:05.765,11,92,174,582,479,0.94,149450
2025-04-08 19:56:05.941,12,91,175,577,479,0.94,147744
2025-04-08 19:56:06.114,13,171,175,566,479,0.90,120080
2025-04-08 19:56:06.288,14,173,173,581,479,0.95,124848
2025-04-08 19:56:06.458,15,174,174,573,479,0.95,121695
2025-04-08 19:56:06.631,16,107,174,568,479,0.94,140605
2025-04-08 19:56:06.805,17,43,175,555,479,0.92,155648
2025-04-08 19:56:06.977,18,1,165,514,479,0.93,161082
2025-04-08 19:56:07.149,19,0,153,488,479,0.91,159088
2025-04-08 19:56:07.324,20,0,142,489,479,0.87,164793
2025-04-08 19:56:07.495,21,0,140,489,479,0.92,165771
2025-04-08 19:56:07.669,22,1,142,501,479,0.94,168500
2025-04-08 19:56:07.842,23,0,140,503,479,0.95,170517
2025-04-08 19:56:08.016,24,1,134,502,479,0.94,172845
2025-04-08 19:56:08.189,25,0,104,516,479,0.95,193500
2025-04-08 19:56:08.361,26,0,47,543,479,0.94,234576
2025-04-08 19:56:08.535,27,0,0,549,479,0.96,262971
2025-04-08 19:56:08.709,28,0,3,550,479,0.96,261800
2025-04-08 19:56:08.881,29,1,6,552,479,0.94,260623
2025-04-08 19:56:09.055,30,0,11,559,479,0.95,261612
2025-04-08 19:56:09.230,31,0,44,556,479,0.94,241860
2025-04-08 19:56:09.402,32,21,118,499,479,0.89,172558
2025-04-08 19:56:09.572,33,9,146,490,479,0.93,160173
2025-04-08 19:56:09.746,34,116,215,443,479,0.90,86328
2025-04-08 19:56:09.918,35,171,222,477,479,0.89,78642
2025-04-08 19:56:10.092,36,193,211,508,479,0.91,84420
2025-04-08 19:56:10.266,37,113,193,495,479,0.93,109252
2025-04-08 19:56:10.439,38,62,137,489,479,0.93,146034
2025-04-08 19:56:10.610,39,45,116,493,479,0.94,162624
2025-04-08 19:56:10.785,40,74,140,496,479,0.94,143058
2025-04-08 19:56:10.785,40,562,411,624,479,0.79,4216
2025-04-08 19:56:10.959,41,68,149,488,479,0.94,138600
2025-04-08 19:56:11.131,42,14,137,451,479,0.95,149454
2025-04-08 19:56:11.304,43,5,100,474,479,0.96,177751
2025-04-08 19:56:11.479,44,4,74,477,479,0.95,191565
2025-04-08 19:56:11.650,45,49,123,638,479,0.95,209684
2025-04-08 19:56:11.822,46,62,205,639,479,0.95,158098
