Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,Average_Depth_m,area
2025-04-08 16:14:52.920,2,258,91,374,172,0.96,7.983,9396
2025-04-08 16:14:53.726,3,258,91,374,173,0.96,7.997,9512
2025-04-08 16:14:54.566,4,258,91,374,172,0.96,8.054,9396
2025-04-08 16:14:55.366,5,258,91,374,172,0.96,8.145,9396
2025-04-08 16:14:56.164,6,258,91,374,172,0.96,8.080,9396
2025-04-08 16:14:57.012,7,258,91,374,172,0.96,8.093,9396
2025-04-08 16:14:57.797,8,258,91,374,173,0.96,8.137,9512
2025-04-08 16:14:58.566,9,258,91,374,172,0.96,8.035,9396
2025-04-08 16:14:59.380,10,259,91,375,173,0.96,7.975,9512
